,M6600003
2011-10-18,573.0
2011-10-19,548.0
2011-10-20,619.0
2011-10-21,505.0
2011-10-22,325.0
2011-10-23,308.0
2011-10-24,521.0
2011-10-25,582.0
2011-10-26,553.0
2011-10-27,554.0
2011-10-28,535.0
2011-10-29,296.0
2011-10-30,283.0
2011-10-31,578.0
2011-11-01,559.0
2011-11-02,478.0
2011-11-03,551.0
2011-11-04,531.0
2011-11-05,339.0
2011-11-06,264.0
2011-11-07,606.0
2011-11-08,530.0
2011-11-09,568.0
2011-11-10,591.0
2011-11-11,499.0
2011-11-12,322.0
2011-11-13,288.0
2011-11-14,589.0
2011-11-15,610.0
2011-11-16,640.0
2011-11-17,614.0
2011-11-18,562.0
2011-11-19,317.0
2011-11-20,267.0
2011-11-21,577.0
2011-11-22,594.0
2011-11-23,543.0
2011-11-24,574.0
2011-11-25,513.0
2011-11-26,356.0
2011-11-27,294.0
2011-11-28,581.0
2011-11-29,636.0
2011-11-30,631.0
2011-12-01,660.0
2011-12-02,505.0
2011-12-03,345.0
2011-12-04,273.0
2011-12-05,574.0
2011-12-06,607.0
2011-12-07,605.0
2011-12-08,570.0
2011-12-09,501.0
2011-12-10,324.0
2011-12-11,281.0
2011-12-12,568.0
2011-12-13,614.0
2011-12-14,609.0
2011-12-15,665.0
2011-12-16,548.0
2011-12-17,325.0
2011-12-18,303.0
2011-12-19,577.0
2011-12-20,608.0
2011-12-21,607.0
2011-12-22,518.0
2011-12-23,521.0
2011-12-24,312.0
2011-12-25,284.0
2011-12-26,574.0
2011-12-27,586.0
2011-12-28,558.0
2011-12-29,594.0
2011-12-30,521.0
2011-12-31,420.0
2012-01-01,279.0
2012-01-02,288.0
2012-01-03,340.0
2012-01-04,571.0
2012-01-05,539.0
2012-01-06,562.0
2012-01-07,321.0
2012-01-08,310.0
2012-01-09,505.0
2012-01-10,559.0
2012-01-11,515.0
2012-01-12,511.0
2012-01-13,460.0
2012-01-14,315.0
2012-01-15,281.0
2012-01-16,378.0
2012-01-17,404.0
2012-01-18,376.0
2012-01-19,329.0
2012-01-20,270.0
2012-01-21,228.0
2012-01-22,85.0
2012-01-23,171.0
2012-01-24,182.0
2012-01-25,159.0
2012-01-26,181.0
2012-01-27,175.0
2012-01-28,238.0
2012-01-29,390.0
2012-01-30,532.0
2012-01-31,598.0
2012-02-01,666.0
2012-02-02,665.0
2012-02-03,647.0
2012-02-04,411.0
2012-02-05,359.0
2012-02-06,599.0
2012-02-07,780.0
2012-02-08,822.0
2012-02-09,770.0
2012-02-10,794.0
2012-02-11,459.0
2012-02-12,417.0
2012-02-13,795.0
2012-02-14,788.0
2012-02-15,869.0
2012-02-16,889.0
2012-02-17,782.0
2012-02-18,445.0
2012-02-19,422.0
2012-02-20,929.0
2012-02-21,843.0
2012-02-22,874.0
2012-02-23,841.0
2012-02-24,798.0
2012-02-25,473.0
2012-02-26,423.0
2012-02-27,826.0
2012-02-28,903.0
2012-02-29,867.0
2012-03-01,860.0
2012-03-02,712.0
2012-03-03,428.0
2012-03-04,347.0
2012-03-05,823.0
2012-03-06,847.0
2012-03-07,796.0
2012-03-08,627.0
2012-03-09,661.0
2012-03-10,404.0
2012-03-11,372.0
2012-03-12,804.0
2012-03-13,737.0
2012-03-14,796.0
2012-03-15,774.0
2012-03-16,718.0
2012-03-17,429.0
2012-03-18,390.0
2012-03-19,823.0
2012-03-20,820.0
2012-03-21,840.0
2012-03-22,821.0
2012-03-23,639.0
2012-03-24,419.0
2012-03-25,349.0
2012-03-26,786.0
2012-03-27,716.0
2012-03-28,795.0
2012-03-29,741.0
2012-03-30,749.0
2012-03-31,651.0
2012-04-01,532.0
2012-04-02,402.0
2012-04-03,316.0
2012-04-04,300.0
2012-04-05,744.0
2012-04-06,703.0
2012-04-07,414.0
2012-04-08,375.0
2012-04-09,772.0
2012-04-10,791.0
2012-04-11,781.0
2012-04-12,746.0
2012-04-13,649.0
2012-04-14,410.0
