,M6600003
2014-06-18,940.0
2014-06-19,925.0
2014-06-20,883.0
2014-06-21,495.0
2014-06-22,479.0
2014-06-23,985.0
2014-06-24,856.0
2014-06-25,908.0
2014-06-26,945.0
2014-06-27,800.0
2014-06-28,528.0
2014-06-29,525.0
2014-06-30,1080.0
2014-07-01,1132.0
2014-07-02,983.0
2014-07-03,1016.0
2014-07-04,588.0
2014-07-05,341.0
2014-07-06,367.0
2014-07-07,907.0
2014-07-08,920.0
2014-07-09,869.0
2014-07-10,884.0
2014-07-11,842.0
2014-07-12,528.0
2014-07-13,503.0
2014-07-14,906.0
2014-07-15,1031.0
2014-07-16,964.0
2014-07-17,896.0
2014-07-18,774.0
2014-07-19,483.0
2014-07-20,418.0
2014-07-21,804.0
2014-07-22,887.0
2014-07-23,873.0
2014-07-24,869.0
2014-07-25,828.0
2014-07-26,560.0
2014-07-27,478.0
2014-07-28,932.0
2014-07-29,933.0
2014-07-30,899.0
2014-07-31,969.0
2014-08-01,911.0
2014-08-02,496.0
2014-08-03,518.0
2014-08-04,914.0
2014-08-05,1005.0
2014-08-06,944.0
2014-08-07,939.0
2014-08-08,904.0
2014-08-09,552.0
2014-08-10,505.0
2014-08-11,1002.0
2014-08-12,1000.0
2014-08-13,944.0
2014-08-14,966.0
2014-08-15,928.0
2014-08-16,568.0
2014-08-17,524.0
2014-08-18,1046.0
2014-08-19,976.0
2014-08-20,1011.0
2014-08-21,973.0
2014-08-22,924.0
2014-08-23,557.0
2014-08-24,506.0
2014-08-25,982.0
2014-08-26,1058.0
2014-08-27,986.0
2014-08-28,967.0
2014-08-29,963.0
2014-08-30,561.0
2014-08-31,545.0
2014-09-01,1057.0
2014-09-02,922.0
2014-09-03,912.0
2014-09-04,994.0
2014-09-05,766.0
2014-09-06,482.0
2014-09-07,450.0
2014-09-08,432.0
2014-09-09,910.0
2014-09-10,981.0
2014-09-11,1032.0
2014-09-12,950.0
2014-09-13,667.0
2014-09-14,561.0
2014-09-15,1075.0
2014-09-16,1070.0
2014-09-17,1038.0
2014-09-18,998.0
2014-09-19,994.0
2014-09-20,570.0
2014-09-21,542.0
2014-09-22,1018.0
2014-09-23,1122.0
2014-09-24,962.0
2014-09-25,1081.0
2014-09-26,979.0
2014-09-27,610.0
2014-09-28,827.0
2014-09-29,876.0
2014-09-30,744.0
2014-10-01,400.0
2014-10-02,345.0
2014-10-03,354.0
2014-10-04,362.0
2014-10-05,408.0
2014-10-06,511.0
2014-10-07,589.0
2014-10-08,1078.0
2014-10-09,1153.0
2014-10-10,1142.0
2014-10-11,925.0
2014-10-12,688.0
2014-10-13,1143.0
2014-10-14,1170.0
2014-10-15,1212.0
2014-10-16,1093.0
2014-10-17,1054.0
2014-10-18,606.0
2014-10-19,601.0
2014-10-20,1023.0
2014-10-21,1070.0
2014-10-22,994.0
2014-10-23,598.0
2014-10-24,780.0
2014-10-25,616.0
2014-10-26,520.0
2014-10-27,1029.0
2014-10-28,936.0
2014-10-29,870.0
2014-10-30,978.0
2014-10-31,956.0
2014-11-01,613.0
2014-11-02,609.0
2014-11-03,941.0
2014-11-04,1007.0
2014-11-05,924.0
2014-11-06,874.0
2014-11-07,823.0
2014-11-08,541.0
2014-11-09,524.0
2014-11-10,842.0
2014-11-11,809.0
2014-11-12,838.0
2014-11-13,898.0
2014-11-14,774.0
2014-11-15,528.0
2014-11-16,522.0
2014-11-17,955.0
2014-11-18,936.0
2014-11-19,982.0
2014-11-20,932.0
2014-11-21,842.0
2014-11-22,323.0
2014-11-23,338.0
2014-11-24,683.0
2014-11-25,952.0
2014-11-26,543.0
2014-11-27,505.0
2014-11-28,767.0
2014-11-29,440.0
2014-11-30,394.0
2014-12-01,715.0
2014-12-02,744.0
2014-12-03,743.0
2014-12-04,687.0
2014-12-05,714.0
2014-12-06,414.0
2014-12-07,436.0
2014-12-08,717.0
2014-12-09,706.0
2014-12-10,759.0
2014-12-11,813.0
2014-12-12,707.0
2014-12-13,444.0
2014-12-14,444.0
2014-12-15,862.0
2014-12-16,900.0
2014-12-17,995.0
2014-12-18,943.0
2014-12-19,926.0
2014-12-20,563.0
2014-12-21,543.0
2014-12-22,904.0
2014-12-23,976.0
2014-12-24,773.0
2014-12-25,866.0
2014-12-26,1011.0
2014-12-27,622.0
2014-12-28,603.0
2014-12-29,1024.0
2014-12-30,1103.0
2014-12-31,988.0
2015-01-01,516.0
2015-01-02,510.0
2015-01-03,605.0
2015-01-04,1210.0
2015-01-05,1408.0
2015-01-06,1247.0
2015-01-07,1325.0
2015-01-08,1357.0
2015-01-09,1154.0
2015-01-10,797.0
2015-01-11,666.0
2015-01-12,1236.0
2015-01-13,1177.0
2015-01-14,1256.0
2015-01-15,1397.0
2015-01-16,1215.0
2015-01-17,726.0
2015-01-18,622.0
2015-01-19,1242.0
2015-01-20,1275.0
2015-01-21,1245.0
2015-01-22,1068.0
2015-01-23,1051.0
2015-01-24,708.0
2015-01-25,662.0
2015-01-26,1181.0
2015-01-27,1161.0
2015-01-28,1068.0
2015-01-29,1235.0
2015-01-30,1258.0
2015-01-31,765.0
2015-02-01,724.0
2015-02-02,1183.0
2015-02-03,1185.0
2015-02-04,1109.0
2015-02-05,1065.0
2015-02-06,1001.0
2015-02-07,668.0
2015-02-08,558.0
2015-02-09,1048.0
2015-02-10,1014.0
2015-02-11,934.0
2015-02-12,905.0
2015-02-13,800.0
2015-02-14,555.0
2015-02-15,571.0
2015-02-16,594.0
2015-02-17,392.0
2015-02-18,239.0
2015-02-19,256.0
2015-02-20,299.0
2015-02-21,319.0
2015-02-22,351.0
2015-02-23,382.0
2015-02-24,454.0
2015-02-25,942.0
2015-02-26,1396.0
2015-02-27,1444.0
2015-02-28,1539.0
2015-03-01,1012.0
2015-03-02,1742.0
2015-03-03,1584.0
2015-03-04,1689.0
2015-03-05,1568.0
2015-03-06,1427.0
2015-03-07,1119.0
2015-03-08,825.0
2015-03-09,1548.0
2015-03-10,1648.0
2015-03-11,1578.0
2015-03-12,1546.0
2015-03-13,1486.0
2015-03-14,1027.0
2015-03-15,853.0
2015-03-16,1535.0
2015-03-17,1497.0
2015-03-18,1499.0
2015-03-19,1531.0
2015-03-20,1444.0
2015-03-21,827.0
2015-03-22,782.0
2015-03-23,1402.0
2015-03-24,1449.0
2015-03-25,1451.0
2015-03-26,1410.0
2015-03-27,1323.0
2015-03-28,854.0
2015-03-29,632.0
2015-03-30,1477.0
2015-03-31,1531.0
2015-04-01,1441.0
2015-04-02,1378.0
2015-04-03,1226.0
2015-04-04,590.0
2015-04-05,563.0
2015-04-06,656.0
2015-04-07,1413.0
2015-04-08,1427.0
2015-04-09,1445.0
2015-04-10,1270.0
2015-04-11,785.0
2015-04-12,744.0
2015-04-13,1361.0
2015-04-14,1457.0
2015-04-15,1393.0
2015-04-16,1351.0
2015-04-17,1200.0
2015-04-18,708.0
2015-04-19,721.0
2015-04-20,1342.0
2015-04-21,1385.0
2015-04-22,1229.0
2015-04-23,1217.0
2015-04-24,1197.0
2015-04-25,774.0
2015-04-26,806.0
2015-04-27,1317.0
2015-04-28,1303.0
2015-04-29,1233.0
2015-04-30,1077.0
2015-05-01,561.0
2015-05-02,573.0
2015-05-03,618.0
2015-05-04,1293.0
2015-05-05,1291.0
2015-05-06,1244.0
2015-05-07,1308.0
2015-05-08,1212.0
2015-05-09,685.0
2015-05-10,660.0
2015-05-11,1174.0
2015-05-12,1253.0
2015-05-13,1159.0
2015-05-14,1155.0
2015-05-15,1179.0
2015-05-16,684.0
2015-05-17,603.0
2015-05-18,1423.0
2015-05-19,1246.0
2015-05-20,1189.0
2015-05-21,1142.0
2015-05-22,1040.0
2015-05-23,571.0
2015-05-24,559.0
2015-05-25,1189.0
2015-05-26,1122.0
2015-05-27,1076.0
2015-05-28,1083.0
2015-05-29,1069.0
2015-05-30,642.0
2015-05-31,546.0
2015-06-01,1012.0
2015-06-02,1096.0
2015-06-03,1116.0
2015-06-04,1097.0
2015-06-05,966.0
2015-06-06,595.0
2015-06-07,550.0
2015-06-08,1191.0
2015-06-09,1155.0
2015-06-10,1094.0
2015-06-11,1112.0
2015-06-12,1003.0
2015-06-13,603.0
2015-06-14,764.0
2015-06-15,1202.0
2015-06-16,1081.0
2015-06-17,1010.0
2015-06-18,1001.0
2015-06-19,873.0
2015-06-20,473.0
2015-06-21,425.0
2015-06-22,565.0
2015-06-23,1010.0
2015-06-24,1119.0
2015-06-25,1163.0
2015-06-26,984.0
2015-06-27,678.0
2015-06-28,615.0
2015-06-29,1152.0
2015-06-30,1266.0
2015-07-01,1331.0
2015-07-02,1287.0
2015-07-03,1206.0
2015-07-04,729.0
2015-07-05,617.0
2015-07-06,1130.0
2015-07-07,1150.0
2015-07-08,1172.0
2015-07-09,1152.0
2015-07-10,1075.0
2015-07-11,621.0
2015-07-12,528.0
2015-07-13,1187.0
2015-07-14,1113.0
2015-07-15,1252.0
2015-07-16,1251.0
2015-07-17,980.0
2015-07-18,606.0
2015-07-19,552.0
2015-07-20,1145.0
2015-07-21,1131.0
2015-07-22,1103.0
2015-07-23,1130.0
2015-07-24,1096.0
2015-07-25,580.0
2015-07-26,577.0
2015-07-27,1065.0
2015-07-28,1144.0
2015-07-29,1048.0
2015-07-30,1117.0
2015-07-31,1113.0
2015-08-01,690.0
2015-08-02,604.0
2015-08-03,1133.0
2015-08-04,1181.0
2015-08-05,1166.0
2015-08-06,1208.0
2015-08-07,1004.0
2015-08-08,616.0
2015-08-09,520.0
2015-08-10,1067.0
2015-08-11,1125.0
2015-08-12,1154.0
2015-08-13,1109.0
2015-08-14,1019.0
2015-08-15,654.0
2015-08-16,543.0
2015-08-17,1110.0
2015-08-18,1176.0
2015-08-19,1146.0
2015-08-20,999.0
2015-08-21,921.0
2015-08-22,674.0
2015-08-23,595.0
2015-08-24,1106.0
2015-08-25,1155.0
2015-08-26,1149.0
2015-08-27,1126.0
2015-08-28,1029.0
2015-08-29,641.0
2015-08-30,647.0
2015-08-31,1175.0
2015-09-01,1073.0
2015-09-02,972.0
2015-09-03,476.0
2015-09-04,536.0
2015-09-05,512.0
2015-09-06,946.0
2015-09-07,1190.0
2015-09-08,1194.0
2015-09-09,1148.0
2015-09-10,1104.0
2015-09-11,1077.0
2015-09-12,571.0
2015-09-13,545.0
2015-09-14,1103.0
2015-09-15,1065.0
2015-09-16,1092.0
2015-09-17,1037.0
2015-09-18,907.0
2015-09-19,525.0
2015-09-20,556.0
2015-09-21,987.0
2015-09-22,1055.0
2015-09-23,950.0
2015-09-24,918.0
2015-09-25,819.0
2015-09-26,500.0
2015-09-27,425.0
2015-09-28,912.0
2015-09-29,900.0
2015-09-30,766.0
2015-10-01,387.0
2015-10-02,338.0
2015-10-03,328.0
2015-10-04,402.0
2015-10-05,431.0
2015-10-06,489.0
2015-10-07,626.0
2015-10-08,1097.0
2015-10-09,1085.0
2015-10-10,947.0
2015-10-11,588.0
2015-10-12,1157.0
2015-10-13,1168.0
2015-10-14,1123.0
2015-10-15,1175.0
2015-10-16,1126.0
2015-10-17,594.0
2015-10-18,598.0
2015-10-19,1184.0
2015-10-20,1132.0
2015-10-21,1189.0
2015-10-22,1161.0
2015-10-23,1076.0
2015-10-24,656.0
2015-10-25,530.0
2015-10-26,1067.0
2015-10-27,1168.0
2015-10-28,1132.0
2015-10-29,1116.0
2015-10-30,1004.0
2015-10-31,591.0
2015-11-01,525.0
2015-11-02,1042.0
2015-11-03,1081.0
2015-11-04,1140.0
2015-11-05,1125.0
2015-11-06,941.0
2015-11-07,576.0
2015-11-08,529.0
2015-11-09,1053.0
2015-11-10,990.0
2015-11-11,884.0
2015-11-12,986.0
2015-11-13,987.0
2015-11-14,571.0
2015-11-15,558.0
2015-11-16,1068.0
2015-11-17,1117.0
2015-11-18,1117.0
2015-11-19,1143.0
2015-11-20,1010.0
2015-11-21,592.0
2015-11-22,574.0
2015-11-23,1007.0
2015-11-24,1044.0
2015-11-25,1104.0
2015-11-26,1023.0
2015-11-27,1013.0
2015-11-28,601.0
2015-11-29,564.0
2015-11-30,1133.0
2015-12-01,1127.0
2015-12-02,1077.0
2015-12-03,1054.0
2015-12-04,1097.0
2015-12-05,608.0
2015-12-06,595.0
2015-12-07,1066.0
2015-12-08,1097.0
2015-12-09,1116.0
2015-12-10,1186.0
2015-12-11,1104.0
2015-12-12,559.0
2015-12-13,587.0
2015-12-14,1193.0
2015-12-15,1289.0
2015-12-16,1269.0
2015-12-17,1134.0
2015-12-18,992.0
2015-12-19,593.0
2015-12-20,641.0
2015-12-21,1151.0
2015-12-22,1332.0
2015-12-23,1280.0
2015-12-24,1270.0
2015-12-25,1086.0
2015-12-26,695.0
2015-12-27,665.0
2015-12-28,1233.0
2015-12-29,1285.0
2015-12-30,1236.0
2015-12-31,1004.0
2016-01-01,509.0
2016-01-02,573.0
2016-01-03,614.0
2016-01-04,1350.0
2016-01-05,1416.0
2016-01-06,1364.0
2016-01-07,1312.0
2016-01-08,1335.0
2016-01-09,774.0
2016-01-10,652.0
2016-01-11,1224.0
2016-01-12,1306.0
2016-01-13,1267.0
2016-01-14,1213.0
2016-01-15,1278.0
2016-01-16,671.0
2016-01-17,626.0
2016-01-18,1234.0
2016-01-19,1117.0
2016-01-20,1140.0
2016-01-21,1094.0
2016-01-22,1018.0
2016-01-23,529.0
2016-01-24,522.0
2016-01-25,1049.0
2016-01-26,1039.0
2016-01-27,1125.0
2016-01-28,1157.0
2016-01-29,1048.0
2016-01-30,674.0
2016-01-31,600.0
2016-02-01,931.0
2016-02-02,870.0
2016-02-03,855.0
2016-02-04,739.0
2016-02-05,552.0
2016-02-06,395.0
2016-02-07,254.0
2016-02-08,259.0
2016-02-09,293.0
2016-02-10,292.0
2016-02-11,346.0
2016-02-12,359.0
2016-02-13,492.0
2016-02-14,723.0
2016-02-15,1141.0
2016-02-16,1325.0
2016-02-17,1405.0
2016-02-18,1454.0
2016-02-19,1425.0
2016-02-20,1049.0
2016-02-21,934.0
2016-02-22,1463.0
2016-02-23,1524.0
2016-02-24,1648.0
2016-02-25,1595.0
2016-02-26,1508.0
2016-02-27,1061.0
2016-02-28,1039.0
2016-02-29,1712.0
2016-03-01,1669.0
2016-03-02,1535.0
2016-03-03,1520.0
2016-03-04,1423.0
2016-03-05,1029.0
2016-03-06,994.0
2016-03-07,1494.0
2016-03-08,1354.0
2016-03-09,1459.0
2016-03-10,1442.0
2016-03-11,1452.0
2016-03-12,1084.0
2016-03-13,826.0
2016-03-14,1582.0
2016-03-15,1500.0
2016-03-16,1553.0
2016-03-17,1489.0
2016-03-18,1395.0
2016-03-19,934.0
2016-03-20,871.0
2016-03-21,1583.0
2016-03-22,1649.0
2016-03-23,1552.0
2016-03-24,1491.0
2016-03-25,1362.0
2016-03-26,929.0
2016-03-27,824.0
2016-03-28,1476.0
2016-03-29,1466.0
2016-03-30,1406.0
2016-03-31,1526.0
2016-04-01,1300.0
2016-04-02,839.0
2016-04-03,728.0
2016-04-04,746.0
2016-04-05,1400.0
2016-04-06,1435.0
2016-04-07,1415.0
2016-04-08,1393.0
2016-04-09,942.0
2016-04-10,804.0
2016-04-11,1446.0
2016-04-12,1444.0
2016-04-13,1464.0
2016-04-14,1383.0
2016-04-15,1379.0
2016-04-16,849.0
2016-04-17,572.0
2016-04-18,1429.0
2016-04-19,1305.0
2016-04-20,1402.0
2016-04-21,1374.0
2016-04-22,1241.0
2016-04-23,810.0
2016-04-24,783.0
2016-04-25,1405.0
2016-04-26,1445.0
2016-04-27,1389.0
2016-04-28,1339.0
2016-04-29,1237.0
2016-04-30,726.0
2016-05-01,569.0
2016-05-02,679.0
2016-05-03,1339.0
2016-05-04,1328.0
2016-05-05,1342.0
2016-05-06,1307.0
2016-05-07,796.0
2016-05-08,761.0
2016-05-09,1377.0
2016-05-10,1414.0
2016-05-11,1371.0
2016-05-12,1333.0
2016-05-13,1364.0
2016-05-14,948.0
2016-05-15,935.0
2016-05-16,1458.0
2016-05-17,1356.0
2016-05-18,1323.0
2016-05-19,1381.0
2016-05-20,1306.0
2016-05-21,841.0
2016-05-22,753.0
2016-05-23,1337.0
2016-05-24,1403.0
2016-05-25,1370.0
2016-05-26,1388.0
2016-05-27,1331.0
2016-05-28,864.0
2016-05-29,761.0
2016-05-30,1437.0
2016-05-31,1468.0
2016-06-01,1318.0
2016-06-02,1386.0
2016-06-03,1299.0
2016-06-04,758.0
2016-06-05,792.0
2016-06-06,1370.0
2016-06-07,1278.0
2016-06-08,1233.0
2016-06-09,616.0
2016-06-10,627.0
2016-06-11,634.0
2016-06-12,1283.0
2016-06-13,1359.0
2016-06-14,1412.0
2016-06-15,1429.0
2016-06-16,1414.0
2016-06-17,1350.0
2016-06-18,853.0
2016-06-19,1015.0
2016-06-20,1411.0
2016-06-21,1424.0
2016-06-22,1326.0
2016-06-23,1350.0
2016-06-24,1263.0
2016-06-25,873.0
2016-06-26,769.0
2016-06-27,1410.0
2016-06-28,1393.0
2016-06-29,1422.0
2016-06-30,1455.0
2016-07-01,1415.0
2016-07-02,892.0
2016-07-03,895.0
2016-07-04,1398.0
2016-07-05,1408.0
2016-07-06,1388.0
2016-07-07,1367.0
2016-07-08,1257.0
2016-07-09,840.0
2016-07-10,801.0
2016-07-11,1356.0
2016-07-12,1357.0
2016-07-13,1397.0
2016-07-14,1343.0
2016-07-15,1348.0
2016-07-16,846.0
2016-07-17,792.0
2016-07-18,1385.0
2016-07-19,1336.0
2016-07-20,1330.0
2016-07-21,1334.0
2016-07-22,1334.0
2016-07-23,868.0
2016-07-24,701.0
2016-07-25,1355.0
2016-07-26,1396.0
2016-07-27,1315.0
2016-07-28,1353.0
2016-07-29,1309.0
2016-07-30,880.0
2016-07-31,837.0
2016-08-01,1350.0
2016-08-02,1360.0
2016-08-03,1411.0
2016-08-04,1405.0
2016-08-05,1352.0
2016-08-06,867.0
2016-08-07,778.0
2016-08-08,1382.0
2016-08-09,1281.0
2016-08-10,1332.0
2016-08-11,1368.0
2016-08-12,1283.0
2016-08-13,913.0
2016-08-14,722.0
2016-08-15,1365.0
2016-08-16,1372.0
2016-08-17,1372.0
2016-08-18,1379.0
2016-08-19,1297.0
2016-08-20,849.0
2016-08-21,719.0
2016-08-22,1377.0
2016-08-23,1411.0
2016-08-24,1363.0
2016-08-25,1396.0
2016-08-26,1336.0
2016-08-27,838.0
2016-08-28,838.0
2016-08-29,1306.0
2016-08-30,1413.0
2016-08-31,1394.0
2016-09-01,1360.0
2016-09-02,1297.0
2016-09-03,803.0
2016-09-04,786.0
2016-09-05,1347.0
2016-09-06,1377.0
2016-09-07,1340.0
2016-09-08,1313.0
2016-09-09,1258.0
2016-09-10,918.0
2016-09-11,806.0
2016-09-12,1355.0
2016-09-13,1317.0
2016-09-14,1232.0
2016-09-15,622.0
2016-09-16,639.0
2016-09-17,797.0
2016-09-18,1298.0
2016-09-19,1395.0
2016-09-20,1354.0
2016-09-21,1367.0
2016-09-22,1391.0
2016-09-23,1343.0
2016-09-24,943.0
2016-09-25,836.0
2016-09-26,1336.0
2016-09-27,1356.0
2016-09-28,1293.0
2016-09-29,1276.0
2016-09-30,1170.0
2016-10-01,605.0
2016-10-02,501.0
2016-10-03,530.0
2016-10-04,572.0
2016-10-05,725.0
2016-10-06,759.0
2016-10-07,885.0
2016-10-08,1369.0
2016-10-09,1336.0
2016-10-10,1390.0
2016-10-11,1379.0
2016-10-12,1381.0
2016-10-13,1346.0
2016-10-14,1317.0
2016-10-15,918.0
2016-10-16,868.0
2016-10-17,1387.0
2016-10-18,1405.0
2016-10-19,1369.0
2016-10-20,1298.0
2016-10-21,1288.0
2016-10-22,873.0
2016-10-23,842.0
2016-10-24,1326.0
2016-10-25,1380.0
2016-10-26,1309.0
2016-10-27,1306.0
2016-10-28,1321.0
2016-10-29,820.0
2016-10-30,714.0
2016-10-31,1308.0
2016-11-01,1323.0
2016-11-02,1294.0
2016-11-03,1258.0
2016-11-04,1191.0
2016-11-05,806.0
2016-11-06,768.0
2016-11-07,1313.0
2016-11-08,1357.0
2016-11-09,1218.0
2016-11-10,1203.0
2016-11-11,1102.0
2016-11-12,723.0
2016-11-13,793.0
2016-11-14,1278.0
2016-11-15,1294.0
2016-11-16,1255.0
2016-11-17,1297.0
2016-11-18,1194.0
2016-11-19,770.0
2016-11-20,699.0
2016-11-21,1207.0
2016-11-22,1289.0
2016-11-23,1213.0
2016-11-24,1227.0
2016-11-25,1237.0
2016-11-26,756.0
2016-11-27,668.0
2016-11-28,1255.0
2016-11-29,1319.0
2016-11-30,1327.0
2016-12-01,1305.0
2016-12-02,1213.0
2016-12-03,906.0
2016-12-04,832.0
2016-12-05,1325.0
2016-12-06,1366.0
2016-12-07,1290.0
2016-12-08,1354.0
2016-12-09,1290.0
2016-12-10,1111.0
2016-12-11,966.0
2016-12-12,1307.0
2016-12-13,1285.0
2016-12-14,1298.0
2016-12-15,1280.0
2016-12-16,1191.0
2016-12-17,877.0
2016-12-18,806.0
2016-12-19,1264.0
2016-12-20,1355.0
2016-12-21,1278.0
2016-12-22,1355.0
2016-12-23,1165.0
2016-12-24,828.0
2016-12-25,739.0
2016-12-26,1314.0
2016-12-27,1276.0
2016-12-28,1276.0
2016-12-29,1326.0
2016-12-30,1259.0
2016-12-31,772.0
2017-01-01,643.0
2017-01-02,775.0
2017-01-03,1283.0
2017-01-04,1311.0
2017-01-05,1303.0
2017-01-06,1277.0
2017-01-07,875.0
2017-01-08,834.0
2017-01-09,1265.0
2017-01-10,1300.0
2017-01-11,1320.0
2017-01-12,1300.0
2017-01-13,1185.0
2017-01-14,767.0
2017-01-15,708.0
2017-01-16,1200.0
2017-01-17,1182.0
2017-01-18,1196.0
2017-01-19,1165.0
2017-01-20,1119.0
2017-01-21,659.0
2017-01-22,836.0
2017-01-23,946.0
2017-01-24,854.0
2017-01-25,766.0
2017-01-26,512.0
2017-01-27,308.0
2017-01-28,305.0
2017-01-29,367.0
2017-01-30,435.0
2017-01-31,421.0
2017-02-01,557.0
2017-02-02,594.0
2017-02-03,1139.0
2017-02-04,1208.0
2017-02-05,1110.0
2017-02-06,1540.0
2017-02-07,1616.0
2017-02-08,1653.0
2017-02-09,1541.0
2017-02-10,1492.0
2017-02-11,1065.0
2017-02-12,1039.0
2017-02-13,1718.0
2017-02-14,1558.0
2017-02-15,1711.0
2017-02-16,1767.0
2017-02-17,1577.0
2017-02-18,1103.0
2017-02-19,1044.0
2017-02-20,1750.0
2017-02-21,1660.0
2017-02-22,1598.0
2017-02-23,1692.0
2017-02-24,1522.0
2017-02-25,1205.0
2017-02-26,1064.0
2017-02-27,1636.0
2017-02-28,1824.0
2017-03-01,1759.0
2017-03-02,1730.0
2017-03-03,1516.0
2017-03-04,1049.0
2017-03-05,1087.0
2017-03-06,1691.0
2017-03-07,1621.0
2017-03-08,1355.0
2017-03-09,1547.0
2017-03-10,1432.0
2017-03-11,1064.0
2017-03-12,1014.0
2017-03-13,1510.0
2017-03-14,1595.0
2017-03-15,1662.0
2017-03-16,1561.0
2017-03-17,1420.0
2017-03-18,1041.0
2017-03-19,1002.0
2017-03-20,1463.0
2017-03-21,1489.0
2017-03-22,1480.0
2017-03-23,1431.0
2017-03-24,1345.0
2017-03-25,1043.0
2017-03-26,992.0
2017-03-27,1393.0
2017-03-28,1401.0
2017-03-29,1450.0
2017-03-30,1454.0
2017-03-31,1527.0
2017-04-01,1293.0
2017-04-02,870.0
2017-04-03,731.0
2017-04-04,852.0
2017-04-05,1381.0
2017-04-06,1588.0
2017-04-07,1506.0
2017-04-08,955.0
2017-04-09,901.0
2017-04-10,1566.0
2017-04-11,1582.0
2017-04-12,1453.0
2017-04-13,1381.0
2017-04-14,1292.0
2017-04-15,731.0
2017-04-16,606.0
2017-04-17,1276.0
2017-04-18,1279.0
2017-04-19,1272.0
2017-04-20,1305.0
2017-04-21,1097.0
2017-04-22,595.0
2017-04-23,584.0
2017-04-24,1317.0
2017-04-25,1279.0
2017-04-26,1250.0
2017-04-27,1280.0
2017-04-28,1119.0
2017-04-29,641.0
2017-04-30,518.0
2017-05-01,528.0
2017-05-02,1268.0
2017-05-03,1368.0
2017-05-04,1315.0
2017-05-05,1291.0
2017-05-06,806.0
2017-05-07,748.0
2017-05-08,1320.0
2017-05-09,1274.0
2017-05-10,1280.0
2017-05-11,1256.0
2017-05-12,1115.0
2017-05-13,671.0
2017-05-14,541.0
2017-05-15,1257.0
2017-05-16,1364.0
2017-05-17,1345.0
2017-05-18,1316.0
2017-05-19,1274.0
2017-05-20,982.0
2017-05-21,814.0
2017-05-22,1298.0
2017-05-23,1308.0
2017-05-24,1303.0
2017-05-25,1321.0
2017-05-26,1268.0
2017-05-27,1007.0
2017-05-28,616.0
2017-05-29,581.0
2017-05-30,612.0
2017-05-31,1377.0
2017-06-01,1227.0
2017-06-02,1259.0
2017-06-03,813.0
2017-06-04,716.0
2017-06-05,1316.0
2017-06-06,1287.0
2017-06-07,1261.0
2017-06-08,1288.0
2017-06-09,1245.0
2017-06-10,718.0
2017-06-11,784.0
2017-06-12,1349.0
2017-06-13,1390.0
2017-06-14,1444.0
2017-06-15,1418.0
2017-06-16,1305.0
2017-06-17,1009.0
2017-06-18,893.0
2017-06-19,1372.0
2017-06-20,1325.0
2017-06-21,1340.0
2017-06-22,1386.0
2017-06-23,1273.0
2017-06-24,831.0
2017-06-25,796.0
2017-06-26,1328.0
2017-06-27,1229.0
2017-06-28,1324.0
2017-06-29,1314.0
2017-06-30,1263.0
2017-07-01,765.0
2017-07-02,718.0
2017-07-03,1267.0
2017-07-04,1291.0
2017-07-05,1227.0
2017-07-06,1232.0
2017-07-07,1176.0
2017-07-08,703.0
2017-07-09,616.0
2017-07-10,1248.0
2017-07-11,1244.0
2017-07-12,1221.0
2017-07-13,1213.0
2017-07-14,1171.0
2017-07-15,672.0
2017-07-16,582.0
2017-07-17,1241.0
2017-07-18,1187.0
2017-07-19,1246.0
2017-07-20,1233.0
2017-07-21,1217.0
2017-07-22,735.0
2017-07-23,709.0
2017-07-24,1146.0
2017-07-25,1181.0
2017-07-26,1235.0
2017-07-27,1191.0
2017-07-28,1102.0
2017-07-29,667.0
2017-07-30,723.0
2017-07-31,1310.0
2017-08-01,1298.0
2017-08-02,1288.0
2017-08-03,1304.0
2017-08-04,1267.0
2017-08-05,750.0
2017-08-06,680.0
2017-08-07,1280.0
2017-08-08,1246.0
2017-08-09,1245.0
2017-08-10,1238.0
2017-08-11,1203.0
2017-08-12,765.0
2017-08-13,629.0
2017-08-14,1213.0
2017-08-15,1291.0
2017-08-16,1237.0
2017-08-17,1218.0
2017-08-18,1164.0
2017-08-19,690.0
2017-08-20,661.0
2017-08-21,1092.0
2017-08-22,1037.0
2017-08-23,1158.0
2017-08-24,1058.0
2017-08-25,887.0
2017-08-26,547.0
2017-08-27,479.0
2017-08-28,914.0
2017-08-29,921.0
2017-08-30,959.0
2017-08-31,961.0
2017-09-01,964.0
2017-09-02,542.0
2017-09-03,491.0
2017-09-04,952.0
2017-09-05,936.0
2017-09-06,970.0
2017-09-07,974.0
2017-09-08,859.0
2017-09-09,516.0
2017-09-10,513.0
2017-09-11,984.0
2017-09-12,969.0
2017-09-13,1035.0
2017-09-14,1088.0
2017-09-15,1161.0
2017-09-16,654.0
2017-09-17,582.0
2017-09-18,1211.0
2017-09-19,1172.0
2017-09-20,1148.0
2017-09-21,1073.0
2017-09-22,999.0
2017-09-23,624.0
2017-09-24,576.0
2017-09-25,1019.0
2017-09-26,1275.0
2017-09-27,1181.0
2017-09-28,1023.0
2017-09-29,928.0
2017-09-30,749.0
2017-10-01,391.0
2017-10-02,404.0
2017-10-03,332.0
2017-10-04,294.0
2017-10-05,363.0
2017-10-06,443.0
2017-10-07,481.0
2017-10-08,562.0
