,S6126413
2022-02-28,80477.0
2022-03-06,37125.0
2022-03-13,45745.0
2022-03-20,35041.0
2022-03-27,39146.0
2022-03-31,109566.0
2022-04-10,24588.0
2022-04-17,26709.0
2022-04-23,29553.0
2022-04-30,63096.0
2022-05-08,31759.0
2022-05-15,32811.0
2022-05-22,42342.0
2022-05-31,63743.0
2022-06-05,33611.0
2022-06-12,49822.0
2022-06-19,59372.0
2022-06-26,69594.0
2022-06-30,126187.0
2022-07-10,39589.0
2022-07-17,47909.0
2022-07-24,60653.0
2022-07-31,87501.0
2022-08-07,40645.0
2022-08-14,47268.0
2022-08-21,58416.0
2022-08-28,65135.0
2022-08-31,85471.0
2022-09-12,38538.0
2022-09-18,55188.0
2022-09-25,66432.0
2022-09-30,129811.0
2022-10-07,30907.0
2022-10-16,52993.0
2022-10-23,52885.0
2022-10-31,105169.0
2022-11-06,35590.0
2022-11-13,39652.0
2022-11-20,52485.0
2022-11-27,52877.0
2022-11-30,156966.0
2022-12-04,30237.0
2022-12-11,53886.0
2022-12-18,77429.0
2022-12-25,90447.0
2022-12-31,124670.0
2023-01-08,44987.0
2023-01-15,51737.0
2023-01-27,22071.0
2023-01-31,67642.0
2023-02-05,36806.0
2023-02-12,40000.0
2023-02-19,37983.0
2023-02-28,70493.0
2023-03-05,31482.0
2023-03-12,36701.0
2023-03-19,40778.0
2023-03-26,45905.0
2023-03-31,114787.0
2023-04-09,36474.0
2023-04-16,47904.0
2023-04-22,56634.0
2023-04-30,80653.0
2023-05-07,53509.0
2023-05-14,47348.0
2023-05-21,48276.0
2023-05-28,50053.0
2023-05-31,122317.0
2023-06-04,31130.0
2023-06-11,42913.0
2023-06-18,57521.0
2023-06-25,75142.0
2023-06-30,108454.0
2023-07-09,36825.0
2023-07-16,50604.0
2023-07-23,62326.0
2023-07-31,76532.0
2023-08-06,40150.0
2023-08-13,48044.0
2023-08-20,51869.0
2023-08-27,58369.0
2023-08-31,136568.0
2023-09-10,43885.0
2023-09-17,52228.0
2023-09-24,64492.0
2023-09-30,128619.0
2023-10-06,52186.0
2023-10-15,53648.0
2023-10-22,59600.0
2023-10-31,90343.0
2023-11-05,37875.0
2023-11-12,49845.0
2023-11-19,62291.0
2023-11-26,59276.0
2023-11-30,168133.0
2023-12-10,47475.0
2023-12-17,66770.0
2023-12-24,83244.0
2023-12-31,119441.0
2024-01-07,54012.0
2024-01-14,58513.0
2024-01-21,62827.0
2024-01-28,68599.0
2024-01-31,110803.0
2024-02-04,54289.0
2024-02-17,26323.0
2024-02-25,38862.0
